NAME                      |     AMOUNT | TRANS_DATETIME      | PROCESS_DATETIME    | LOCATION                           
Emmott                    |  17,183.00 | 2021-04-18 00:00:00 | 2021-09-28 0:22:58  | Buryseed Umbrellagrass             
Ave                       |  23,708.00 | 2021-03-05 00:00:00 | 2021-09-28 17:12:42 | African Plume                      
Dale                      |  37,824.00 | 2020-12-21 00:00:00 | 2021-09-28 6:37:40  | Beyrich's Fleabane                 
Gardner                   |  32,242.00 | 2021-01-08 00:00:00 | 2021-09-28 22:34:10 | Ground Nama                        
Carney                    |  12,705.00 | 2021-06-05 00:00:00 | 2021-09-28 0:39:18  | Western Catchfly                   
Mersey                    |  48,529.00 | 2021-03-23 00:00:00 | 2021-09-28 15:00:15 | Leandra                            
Homere                    |  32,196.00 | 2021-07-03 00:00:00 | 2021-09-28 15:40:13 | Ewan's Cinquefoil                  
Zack                      |  19,521.00 | 2020-10-10 00:00:00 | 2021-09-28 5:32:14  | Rim Lichen                         
Emmit                     |  21,733.00 | 2021-01-31 00:00:00 | 2021-09-28 0:34:36  | Hairy Forked Nailwort              
Tandy                     |  31,407.00 | 2021-04-11 00:00:00 | 2021-09-28 23:21:16 | Smallflower Western Rosinweed      
Dniren                    |  43,035.00 | 2021-03-09 00:00:00 | 2021-09-28 4:07:41  | Lamarck's Trema                    
Bank                      |  11,402.00 | 2020-12-07 00:00:00 | 2021-09-28 7:45:42  | Castle Lake Bedstraw               
Carlynne                  |  38,265.00 | 2020-07-20 00:00:00 | 2021-09-28 3:21:34  | Brook Wakerobin                    
Isa                       |  25,187.00 | 2021-04-17 00:00:00 | 2021-09-28 3:59:57  | Pinkglobe Prairie Clover           
Chucho                    |   3,906.00 | 2021-03-19 00:00:00 | 2021-09-28 22:08:46 | Johnny-tuck                        
Gaylord                   |  10,866.00 | 2021-04-20 00:00:00 | 2021-09-28 19:23:41 | Conrad's Rinodina Lichen           
Tobi                      |  23,511.00 | 2021-07-19 00:00:00 | 2021-09-28 19:53:54 | Crucillo                           
Darsey                    |  47,948.00 | 2021-01-02 00:00:00 | 2021-09-28 23:25:43 | James' Cryptantha                  
Prinz                     |  49,500.00 | 2021-01-15 00:00:00 | 2021-09-28 21:36:17 | Tortula Moss                       
Valene                    |  10,634.00 | 2020-10-29 00:00:00 | 2021-09-28 7:19:29  | Antitrichia Moss                   
Jody                      |  37,571.00 | 2021-05-21 00:00:00 | 2021-09-28 13:08:16 | Baltimora                          
Marline                   |  24,265.00 | 2020-07-23 00:00:00 | 2021-09-28 3:35:17  | Glandular Hareleaf                 
Kamila                    |   3,962.00 | 2021-02-18 00:00:00 | 2021-09-28 3:05:22  | Bristly Buttercup                  
Lucian                    |  43,201.00 | 2021-03-21 00:00:00 | 2021-09-28 12:30:53 | Entireleaf Western Daisy           
Rachelle                  |  37,829.00 | 2021-03-19 00:00:00 | 2021-09-28 6:07:13  | Soleirolia                         
Englebert                 |   3,727.00 | 2020-12-12 00:00:00 | 2021-09-28 6:49:45  | Sharpleaf Buttercup                
Gertrudis                 |  45,898.00 | 2021-02-06 00:00:00 | 2021-09-28 1:26:14  | Curtiss' Hoarypea                  
Benedicta                 |  18,890.00 | 2020-07-20 00:00:00 | 2021-09-28 23:04:11 | Wideleaf Homomallium Moss          
Silvano                   |  27,590.00 | 2021-03-26 00:00:00 | 2021-09-28 2:57:06  | Shortbristle Beaksedge             
Ingamar                   |   3,410.00 | 2021-05-07 00:00:00 | 2021-09-28 11:58:26 | Star Tickseed                      
Dixie                     |   8,787.00 | 2021-01-28 00:00:00 | 2021-09-28 10:48:53 | Doublehorn Calicoflower            
Nickola                   |  16,897.00 | 2020-08-19 00:00:00 | 2021-09-28 4:31:22  | Hupilo                             
Margret                   |  28,446.00 | 2020-08-10 00:00:00 | 2021-09-28 12:03:54 | Candelaria Blazingstar             
Cornelia                  |  45,786.00 | 2021-02-03 00:00:00 | 2021-09-28 14:32:46 | Pungent Brickellbush               
Marthena                  |  37,231.00 | 2021-01-13 00:00:00 | 2021-09-28 10:51:58 | Quillwort                          
Roseline                  |  37,159.00 | 2021-01-03 00:00:00 | 2021-09-28 23:20:43 | Isachne                            
Oneida                    |   5,180.00 | 2021-07-30 00:00:00 | 2021-09-28 12:39:50 | Roughseed Cryptantha               
Nealson                   |  45,689.00 | 2021-01-02 00:00:00 | 2021-09-28 2:15:10  | Sunflower                          
Orelee                    |   5,215.00 | 2020-12-22 00:00:00 | 2021-09-28 14:08:33 | Colorado Buckhorn Cholla           
Lorita                    |  22,985.00 | 2020-08-26 00:00:00 | 2021-09-28 13:25:00 | Douglas' Silverpuffs               
Nanette                   |  46,349.00 | 2020-08-30 00:00:00 | 2021-09-28 10:55:20 | Glandular Plantain                 
Riannon                   |  48,396.00 | 2021-06-12 00:00:00 | 2021-09-28 11:55:37 | Ookow                              
Julina                    |  28,902.00 | 2021-02-21 00:00:00 | 2021-09-28 21:01:41 | Grama                              
Goldi                     |  48,151.00 | 2021-02-04 00:00:00 | 2021-09-28 11:20:07 | Texas Holdback                     
Casey                     |   6,656.00 | 2020-08-27 00:00:00 | 2021-09-28 6:01:08  | Fringepetal Kittentails            
Frank                     |  43,597.00 | 2020-10-29 00:00:00 | 2021-09-28 8:20:48  | Grisebach's Bristlegrass           
Luisa                     |  49,134.00 | 2021-07-05 00:00:00 | 2021-09-28 4:57:44  | Subalpine Eyebright                
Twyla                     |   9,420.00 | 2021-03-01 00:00:00 | 2021-09-28 23:49:44 | Lamb's Navel Lichen                
Kerianne                  |  25,426.00 | 2021-04-07 00:00:00 | 2021-09-28 20:47:00 | Carolina Navel Lichen              
Ekaterina                 |  23,489.00 | 2020-07-05 00:00:00 | 2021-09-28 21:36:41 | Poorman's Umbrella                 
Kassie                    |  28,054.00 | 2021-06-22 00:00:00 | 2021-09-28 14:44:17 | Angled Paludella Moss              
Lazar                     |  29,428.00 | 2020-07-24 00:00:00 | 2021-09-28 14:22:47 | Brouard's Rinodina Lichen          
Jo-ann                    |  36,712.00 | 2020-10-07 00:00:00 | 2021-09-28 1:29:18  | Hybrid Oak                         
Read                      |  30,112.00 | 2021-06-08 00:00:00 | 2021-09-28 9:27:24  | Araucaria                          
Graham                    |  16,307.00 | 2020-09-13 00:00:00 | 2021-09-28 9:59:57  | Wooton's Holdback                  
Linn                      |  33,842.00 | 2021-03-10 00:00:00 | 2021-09-28 4:27:25  | Lecidea Lichen                     
Leda                      |  19,393.00 | 2020-07-16 00:00:00 | 2021-09-28 20:19:42 | Manyfruit Primrose-willow          
Ardene                    |  31,621.00 | 2021-01-13 00:00:00 | 2021-09-28 1:07:14  | Soft Greeneyes                     
Gianina                   |  34,197.00 | 2020-07-09 00:00:00 | 2021-09-28 5:21:12  | Stemless Four-nerve Daisy          
Abraham                   |  12,796.00 | 2021-05-04 00:00:00 | 2021-09-28 9:15:41  | Eggyolk Lichen                     
Chilton                   |  30,397.00 | 2021-01-03 00:00:00 | 2021-09-28 14:31:34 | Hybrid Rhododendron                
Priscella                 |  49,769.00 | 2020-12-01 00:00:00 | 2021-09-28 8:06:01  | Strychnine Tree                    
Natalya                   |  44,383.00 | 2020-11-23 00:00:00 | 2021-09-28 9:00:04  | Woolly Goat Chicory                
Gilbert                   |  40,912.00 | 2020-10-08 00:00:00 | 2021-09-28 9:16:01  | Thuidium Moss                      
Anya                      |  17,219.00 | 2020-08-20 00:00:00 | 2021-09-28 9:38:41  | Herman's Dwarf Rush                
Dyana                     |  36,764.00 | 2021-05-11 00:00:00 | 2021-09-28 0:17:17  | Jau Jau                            
Leilah                    |  33,456.00 | 2021-03-02 00:00:00 | 2021-09-28 3:04:04  | Rinodina Lichen                    
Cliff                     |   4,891.00 | 2021-04-22 00:00:00 | 2021-09-28 9:58:18  | Gelatinous Skin Lichen             
Tommie                    |  41,146.00 | 2020-11-28 00:00:00 | 2021-09-28 10:41:19 | Imshaug's Witch's Hair Lichen      
Ortensia                  |  27,509.00 | 2021-01-23 00:00:00 | 2021-09-28 6:08:20  | Rockface Yellow Loosestrife        
Cobbie                    |  28,949.00 | 2021-03-23 00:00:00 | 2021-09-28 16:15:45 | Leavenworth's Vetch                
Katleen                   |  15,852.00 | 2020-11-12 00:00:00 | 2021-09-28 2:26:21  | Island Mistletoe                   
Padraic                   |  37,393.00 | 2021-03-01 00:00:00 | 2021-09-28 10:36:01 | Hayfield Tarweed                   
Griffy                    |  30,019.00 | 2020-08-09 00:00:00 | 2021-09-28 12:21:12 | Spotted Water Hemlock              
Garfield                  |  16,492.00 | 2020-10-20 00:00:00 | 2021-09-28 1:40:51  | Beet                               
Kahlil                    |  28,042.00 | 2021-07-18 00:00:00 | 2021-09-28 5:51:33  | Lecidea Lichen                     
Maxy                      |  39,790.00 | 2020-08-21 00:00:00 | 2021-09-28 4:53:15  | Surefoot Buttercup                 
Ester                     |  23,099.00 | 2020-11-02 00:00:00 | 2021-09-28 10:49:25 | American Milletgrass               
Farand                    |  49,755.00 | 2021-07-28 00:00:00 | 2021-09-28 6:43:38  | Negra Lora                         
Fremont                   |  20,557.00 | 2020-08-20 00:00:00 | 2021-09-28 12:12:42 | Knapweed                           
Thaxter                   |  35,885.00 | 2020-12-12 00:00:00 | 2021-09-28 15:04:42 | Australian Wallaby Grass           
Dixie                     |  16,092.00 | 2020-10-19 00:00:00 | 2021-09-28 2:59:54  | Golden-yarrow                      
Jacquelynn                |  17,107.00 | 2021-03-26 00:00:00 | 2021-09-28 14:02:49 | Preuss' Strophanthus               
Joana                     |  25,389.00 | 2021-01-17 00:00:00 | 2021-09-28 1:39:58  | Sierra White Fir                   
Blaine                    |  14,566.00 | 2020-09-28 00:00:00 | 2021-09-28 16:40:16 | Florida Hartwrightia               
Karlene                   |  20,890.00 | 2021-06-29 00:00:00 | 2021-09-28 20:41:17 | Birchbark Dot Lichen               
Christean                 |  15,701.00 | 2020-07-08 00:00:00 | 2021-09-28 3:15:32  | Rio Grande Palmetto                
Lindsy                    |  22,137.00 | 2021-01-02 00:00:00 | 2021-09-28 23:35:35 | Pygmy Date Palm                    
Felipa                    |  12,344.00 | 2021-01-22 00:00:00 | 2021-09-28 13:29:50 | Western Lily                       
Shara                     |   1,743.00 | 2021-01-26 00:00:00 | 2021-09-28 7:58:51  | Spiny Greasebush                   
Wallie                    |  35,834.00 | 2020-10-24 00:00:00 | 2021-09-28 6:27:56  | John Crownose                      
Brandon                   |  41,777.00 | 2020-11-25 00:00:00 | 2021-09-28 22:45:32 | Dwarf Muellerella Lichen           
Maurice                   |   5,387.00 | 2020-11-20 00:00:00 | 2021-09-28 18:31:34 | Pinto Triteleia                    
Ellene                    |  17,832.00 | 2020-08-12 00:00:00 | 2021-09-28 6:08:36  | Hillebrand's Dubautia              
Joana                     |  29,768.00 | 2021-07-09 00:00:00 | 2021-09-28 4:51:10  | Southern Blue Monkshood            
Osmund                    |  12,612.00 | 2020-09-13 00:00:00 | 2021-09-28 9:04:58  | San Saba Pinweed                   
Gavin                     |   8,121.00 | 2021-01-12 00:00:00 | 2021-09-28 10:45:54 | Lespedeza                          
Georgeta                  |  41,225.00 | 2020-10-24 00:00:00 | 2021-09-28 5:38:21  | Fuscidea Lichen                    
Grady                     |  17,135.00 | 2020-11-19 00:00:00 | 2021-09-28 11:16:21 | Hueco Rockdaisy                    
Egbert                    |  38,739.00 | 2021-03-02 00:00:00 | 2021-09-28 16:04:52 | Kunth's Maiden Fern                
Chrissie                  |  14,444.00 | 2020-09-29 00:00:00 | 2021-09-28 17:13:32 | Sensitive Fern                     
Marrissa                  |  41,915.00 | 2021-01-11 00:00:00 | 2021-09-28 19:45:38 | Creeping Bedgrass                  
Jenn                      |  46,107.00 | 2020-07-05 00:00:00 | 2021-09-28 19:21:12 | Tufted Milkvetch                   
Durward                   |  23,572.00 | 2020-08-13 00:00:00 | 2021-09-28 15:01:45 | Billbergia                         
Grannie                   |  25,292.00 | 2021-04-29 00:00:00 | 2021-09-28 10:53:29 | Stahlia                            
Lexis                     |   3,845.00 | 2020-09-02 00:00:00 | 2021-09-28 10:41:51 | Shenandoah Pore Lichen             
Dolly                     |  17,080.00 | 2020-11-21 00:00:00 | 2021-09-28 14:44:54 | Lesser California Rayless Fleabane 
Fredra                    |  24,940.00 | 2020-12-09 00:00:00 | 2021-09-28 3:01:56  | Pygmy Smartweed                    
Stirling                  |  38,178.00 | 2020-09-21 00:00:00 | 2021-09-28 3:16:23  | Florida Poisontree                 
Janek                     |  37,153.00 | 2020-11-20 00:00:00 | 2021-09-28 7:13:07  | Christmasberry                     
Quintilla                 |  35,147.00 | 2020-09-20 00:00:00 | 2021-09-28 19:23:25 | Dispersed Dot Lichen               
Emlyn                     |  33,522.00 | 2020-10-12 00:00:00 | 2021-09-28 10:23:40 | Chattahoochee River Wakerobin      
Nessie                    |  16,311.00 | 2020-09-07 00:00:00 | 2021-09-28 2:49:05  | Rough Canada Goldenrod             
Jud                       |   8,115.00 | 2020-12-19 00:00:00 | 2021-09-28 7:47:55  | Cowell's Sandmat                   
Ambrosio                  |  21,378.00 | 2021-07-07 00:00:00 | 2021-09-28 9:02:43  | Hana Forest Silversword            
Curtice                   |  38,316.00 | 2020-12-21 00:00:00 | 2021-09-28 4:16:52  | Grayleaf Willow                    
Dion                      |   4,923.00 | 2020-09-20 00:00:00 | 2021-09-28 17:32:20 | Strapleaf Willow                   
Damara                    |  46,341.00 | 2020-07-18 00:00:00 | 2021-09-28 16:25:27 | Parasol Draba                      
Shaylyn                   |  20,316.00 | 2020-11-10 00:00:00 | 2021-09-28 14:16:14 | Diplotomma Lichen                  
Betteann                  |  40,303.00 | 2020-09-28 00:00:00 | 2021-09-28 23:47:34 | Charleston Mountain Kittentails    
Ansel                     |  12,555.00 | 2021-03-06 00:00:00 | 2021-09-28 7:54:31  | Suffocating Clover                 
Cristin                   |  49,633.00 | 2020-12-18 00:00:00 | 2021-09-28 15:14:48 | Yosemite Woolly Sunflower          
Arabela                   |  25,339.00 | 2021-06-17 00:00:00 | 2021-09-28 0:11:16  | Arrowleaf Rattlesnakeroot          
Friederike                |  32,450.00 | 2020-10-14 00:00:00 | 2021-09-28 20:41:31 | Dominican Parmotrema Lichen        
Cazzie                    |  40,875.00 | 2020-12-02 00:00:00 | 2021-09-28 1:25:58  | Stiff Bluestar                     
Farand                    |  16,172.00 | 2021-07-17 00:00:00 | 2021-09-28 10:30:32 | Water Whorlgrass                   
Emanuele                  |   7,190.00 | 2021-03-12 00:00:00 | 2021-09-28 10:08:15 | Palmer's Clover                    
Crysta                    |  32,547.00 | 2021-04-25 00:00:00 | 2021-09-28 14:46:17 | Leucobryum Moss                    
Katherine                 |  22,358.00 | 2020-08-16 00:00:00 | 2021-09-28 2:47:17  | Carlott's Wijkia Moss              
Dena                      |  19,149.00 | 2020-10-16 00:00:00 | 2021-09-28 17:13:46 | Tumblemustard                      
Dulcinea                  |   1,976.00 | 2021-05-10 00:00:00 | 2021-09-28 10:55:23 | Hairy Bird's Beak                  
Adah                      |  18,582.00 | 2021-04-22 00:00:00 | 2021-09-28 12:56:17 | Hypotrachyna Lichen                
Grier                     |  46,058.00 | 2021-04-06 00:00:00 | 2021-09-28 20:22:17 | Brandegee's Clover                 
Wendeline                 |  45,294.00 | 2021-05-23 00:00:00 | 2021-09-28 4:37:25  | Southernwood                       
Hussein                   |   3,897.00 | 2021-01-24 00:00:00 | 2021-09-28 7:21:59  | Tennessee Purple Coneflower        
Glenda                    |  49,522.00 | 2020-12-25 00:00:00 | 2021-09-28 15:07:25 | Desert Rose                        
Silvester                 |  44,101.00 | 2021-01-09 00:00:00 | 2021-09-28 18:37:03 | Antilles Parmotremopsis            
Raeann                    |   7,787.00 | 2021-03-08 00:00:00 | 2021-09-28 2:05:32  | Green Slender Lupine               
Eddi                      |  23,538.00 | 2021-04-06 00:00:00 | 2021-09-28 7:45:54  | Railhead Milkvetch                 
Jemimah                   |  38,089.00 | 2021-05-07 00:00:00 | 2021-09-28 6:11:00  | Cleveland's Bush Monkeyflower      
Kinny                     |  14,494.00 | 2021-05-18 00:00:00 | 2021-09-28 20:19:35 | False Watermeal                    
Constantine               |   7,481.00 | 2021-06-24 00:00:00 | 2021-09-28 13:49:50 | Ringseed Rush                      
Drona                     |  47,800.00 | 2020-11-15 00:00:00 | 2021-09-28 20:32:43 | Hawai'i Yelloweyed Grass           
Lefty                     |  11,501.00 | 2020-08-10 00:00:00 | 2021-09-28 19:50:36 | Blemished Lichen                   
Brendin                   |  36,742.00 | 2021-07-22 00:00:00 | 2021-09-28 1:45:29  | Drummond's Nailwort                
Agnola                    |  19,641.00 | 2021-04-17 00:00:00 | 2021-09-28 6:58:31  | Franklin Tree                      
Nannette                  |  23,105.00 | 2021-03-14 00:00:00 | 2021-09-28 23:15:34 | Map Lichen                         
Derril                    |  27,491.00 | 2020-07-05 00:00:00 | 2021-09-28 10:39:43 | Manatee Grass                      
Ingelbert                 |  42,125.00 | 2020-09-01 00:00:00 | 2021-09-28 21:00:53 | Exocarpos                          
Ravi                      |  15,093.00 | 2020-08-07 00:00:00 | 2021-09-28 19:10:16 | Birdfoot Checkerbloom              
Ginni                     |  30,474.00 | 2020-11-13 00:00:00 | 2021-09-28 2:09:00  | Glandular Hareleaf                 
Eleanore                  |  13,745.00 | 2021-01-28 00:00:00 | 2021-09-28 20:28:25 | Chestnut Scale Spleenwort          
Wendall                   |  49,863.00 | 2020-09-10 00:00:00 | 2021-09-28 16:06:44 | Eelgrass                           
Astra                     |  23,185.00 | 2020-08-08 00:00:00 | 2021-09-28 22:24:42 | Willowleaf Meadowsweet             
Quentin                   |  38,863.00 | 2020-12-12 00:00:00 | 2021-09-28 20:03:56 | Natal Glorybower                   
Luca                      |  44,678.00 | 2020-08-02 00:00:00 | 2021-09-28 4:51:58  | Texas Star                         
Morganne                  |  37,668.00 | 2020-08-30 00:00:00 | 2021-09-28 0:25:11  | Storm Saxifrage                    
Alayne                    |  37,765.00 | 2020-10-04 00:00:00 | 2021-09-28 17:56:37 | Campylopus Moss                    
Leslie                    |  44,756.00 | 2021-06-10 00:00:00 | 2021-09-28 15:43:52 | Snub Pea                           
Osborne                   |  13,513.00 | 2021-05-19 00:00:00 | 2021-09-28 17:59:52 | Mouse's Eye                        
Shelton                   |  18,485.00 | 2020-12-16 00:00:00 | 2021-09-28 11:16:28 | Menzies' Campion                   
Jammie                    |  14,536.00 | 2021-03-20 00:00:00 | 2021-09-28 17:35:45 | Eckfeldt's Dot Lichen              
Addy                      |  12,985.00 | 2020-09-23 00:00:00 | 2021-09-28 22:25:12 | Carolina Scalystem                 
Pat                       |  34,661.00 | 2021-06-02 00:00:00 | 2021-09-28 6:49:43  | Crown Of Thorns                    
Halley                    |  49,911.00 | 2021-02-07 00:00:00 | 2021-09-28 23:11:13 | Tylophoron Lichen                  
Gonzalo                   |  25,397.00 | 2021-03-08 00:00:00 | 2021-09-28 1:19:24  | Russian Water-milfoil              
Lynda                     |  21,489.00 | 2021-07-23 00:00:00 | 2021-09-28 22:59:30 | Rough Draba                        
Rollins                   |  43,333.00 | 2021-02-10 00:00:00 | 2021-09-28 14:20:51 | Creeping False Holly               
Naoma                     |  29,314.00 | 2021-05-15 00:00:00 | 2021-09-28 11:25:32 | Eastern Poison Ivy                 
Clementina                |  18,140.00 | 2021-06-04 00:00:00 | 2021-09-28 20:24:15 | Small Limestone Moss               
Elmo                      |  21,739.00 | 2020-11-18 00:00:00 | 2021-09-28 15:30:58 | Kosrae Wild Coffee                 
Reyna                     |  13,028.00 | 2020-08-17 00:00:00 | 2021-09-28 6:16:53  | Yellow Nightshade Groundcherry     
Mort                      |  44,854.00 | 2021-06-02 00:00:00 | 2021-09-28 14:38:43 | Pondweed                           
Sandro                    |  29,941.00 | 2020-12-21 00:00:00 | 2021-09-28 9:29:41  | Porpidia Lichen                    
Angelico                  |  37,588.00 | 2021-02-01 00:00:00 | 2021-09-28 13:18:50 | Scented Oakfern                    
Mitch                     |  26,544.00 | 2021-07-11 00:00:00 | 2021-09-28 19:27:06 | Eastern Redcedar                   
Sherm                     |  49,032.00 | 2021-03-20 00:00:00 | 2021-09-28 20:48:34 | Cloudswept Colicwood               
